Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT1,C720477,SW_SPST_TS-1088-xR020,132.85,-84.32,-90.0,top
C1,4.7uF,C_0402_1005Metric,163.7094,-80.7487,-90.0,top
C10,10uF,C_0603_1608Metric,192.8594,-79.0139,180.0,top
C11,10uF,C_0603_1608Metric,169.926,-90.183,270.0,bottom
C12,0.1uF,C_0402_1005Metric,173.482,-87.9856,180.0,bottom
C13,0.1uF,C_0402_1005Metric,173.4592,-82.4484,180.0,bottom
C14,10uF,C_0603_1608Metric,173.6344,-83.7438,180.0,bottom
C15,0.1uF,C_0402_1005Metric,172.6654,-78.010202,90.0,top
C16,0.1uF,C_0402_1005Metric,173.4592,-81.4324,180.0,bottom
C17,1uF/16V(10%),C_0402_1005Metric,174.244,-77.929802,90.0,top
C18,1uF/16V(10%),C_0402_1005Metric,173.609,-77.647802,90.0,bottom
C2,22pF,C_0402_1005Metric,165.2106,-81.3075,0.0,bottom
C20,10uF,C_0603_1608Metric,173.609,-89.953802,270.0,bottom
C21,0.1uF,C_0402_1005Metric,175.26,-89.458802,270.0,bottom
C23,0.1uF,C_0402_1005Metric,177.165,-77.746802,90.0,bottom
C24,0.1uF,C_0402_1005Metric,176.911,-89.027002,90.0,bottom
C25,0.1uF,C_0402_1005Metric,180.1838,-78.133,90.0,bottom
C26,0.1uF,C_0402_1005Metric,179.197,-78.536802,90.0,bottom
C27,1uF/16V(10%),C_0402_1005Metric,178.181,-78.536802,90.0,bottom
C28,10uF,C_0603_1608Metric,178.816,-88.823802,90.0,bottom
C29,1uF/16V(10%),C_0402_1005Metric,180.1114,-89.027002,90.0,bottom
C3,22uF,C_0603_1608Metric,169.2466,-79.7457,-90.0,top
C30,1uF/16V(10%),C_0402_1005Metric,183.7678,-88.299802,180.0,bottom
C31,0.1uF,C_0402_1005Metric,183.7626,-87.283802,180.0,bottom
C32,0.1uF,C_0402_1005Metric,181.8614,-85.826602,0.0,bottom
C33,0.1uF,C_0402_1005Metric,171.6854,-89.003002,180.0,bottom
C34,1uF/16V(10%),C_0402_1005Metric,199.3703,-82.2421,270.0,bottom
C35,1uF/16V(10%),C_0402_1005Metric,199.0918,-89.286,270.0,bottom
C36,22pF,C_0402_1005Metric,191.9873,-81.9612,270.0,bottom
C37,10uF,C_0603_1608Metric,191.712,-85.7653,90.0,top
C38,0.1uF,C_0402_1005Metric,139.85,-84.32,-90.0,top
C39,0.1uF,C_0402_1005Metric,176.022,-76.2254,180.0,top
C4,12pF,C_0402_1005Metric,165.1254,-89.281002,0.0,top
C40,0.1uF,C_0402_1005Metric,179.086,-81.838802,270.0,bottom
C41,10nF,C_0402_1005Metric,180.086,-81.838802,270.0,bottom
C42,4.7uF,C_0402_1005Metric,178.086,-81.818802,270.0,bottom
C5,12pF,C_0402_1005Metric,165.0772,-85.166202,0.0,top
C6,0.1uF,C_0402_1005Metric,171.1198,-86.7436,270.0,bottom
C7,0.1uF,C_0402_1005Metric,173.482,-86.995,180.0,bottom
C8,0.1uF,C_0402_1005Metric,171.0944,-84.6328,270.0,bottom
C9,0.1uF,C_0402_1005Metric,169.517,-82.296,0.0,bottom
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,144.28,-84.32,0.0,top
D2,LESD5D5.0CT1G,D_SOD-523,199.898,-77.7748,0.0,top
D3,LESD5D5.0CT1G,D_SOD-523,199.9092,-79.6544,0.0,top
D4,LESD5D5.0CT1G,D_SOD-523,201.176,-81.337,90.0,bottom
D5,LESD5D5.0CT1G,D_SOD-523,200.922,-87.368,180.0,bottom
D6,ESD7951ST5G,D_SOD-882,201.0292,-90.3224,0.0,top
D7,ESD7951ST5G,D_SOD-882,201.0292,-88.5364,0.0,top
D8,GREEN LED,D_0805_2012Metric,200.0076,-84.08,180.0,top
J1,C2760486,USB_C_Receptacle_HRO_TYPE-C-31-M-31,206.165,-90.5,90.0,top
J11,Conn_01x04,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,125.9648,-84.32,-90.0,top
J2,C2760486,USB_C_Receptacle_HRO_TYPE-C-31-M-31,206.165,-78.131076,90.0,top
L1,2.2uH,L_1008_2520Metric,166.3002,-78.1599,0.0,top
L2,2.2uH,L_1008_2520Metric,193.9472,-86.1717,-90.0,top
Q1,MBT3906DW1,SOT-363_SC-70-6,197.6692,-77.4389,180.0,bottom
Q2,AO3401A,SOT-23,197.7724,-80.5733,90.0,bottom
Q3,MBT3906DW1,SOT-363_SC-70-6,197.3907,-84.4828,180.0,bottom
Q4,AO3401A,SOT-23,197.4939,-87.6172,90.0,bottom
R1,499k,R_0402_1005Metric,165.2314,-82.3235,180.0,bottom
R10,51K(1%),R_0402_1005Metric,195.0278,-88.9552,270.0,bottom
R11,5.1K(1%),R_0402_1005Metric,199.9488,-91.4908,0.0,top
R12,5.1K(1%),R_0402_1005Metric,199.9488,-87.368,0.0,top
R13,5.1K(1%),R_0402_1005Metric,197.612,-84.582,90.0,top
R14,10K(1%),R_0402_1005Metric,192.6316,-83.4644,180.0,bottom
R15,100K(1%),R_0402_1005Metric,193.04,-81.9404,270.0,bottom
R16,22.1K(1%),R_0402_1005Metric,192.474,-80.3805,0.0,bottom
R2,499k,R_0402_1005Metric,163.576,-81.788,270.0,bottom
R200,10K(1%),R_0402_1005Metric,171.323,-90.549,270.0,bottom
R209,10K(1%),R_0402_1005Metric,173.99,-79.756,180.0,bottom
R210,10K(1%),R_0402_1005Metric,177.3174,-77.7006,90.0,top
R28,10K(1%),R_0402_1005Metric,183.3334,-90.585802,90.0,bottom
R3,0,R_0402_1005Metric,167.7422,-88.198002,180.0,top
R39,0,R_0402_1005Metric,181.1998,-79.003402,90.0,bottom
R4,0,R_0402_1005Metric,167.7422,-87.198002,180.0,top
R5,5.1K(1%),R_0402_1005Metric,199.7456,-80.9244,0.0,top
R6,5.1K(1%),R_0402_1005Metric,200.6346,-76.6064,180.0,bottom
R7,10K(1%),R_0402_1005Metric,195.5603,-76.9309,90.0,bottom
R8,51K(1%),R_0402_1005Metric,195.3063,-81.9113,270.0,bottom
R9,10K(1%),R_0402_1005Metric,195.2818,-83.9748,90.0,bottom
RESET1,C720477,SW_SPST_TS-1088-xR020,155.71,-84.32,90.0,top
U1,TLV62569DBV,SOT-23-5,166.37,-81.28,90.0,top
U2,~,ESP32-P4,176.1864,-84.672002,90.0,top
U3,W25Q128JVS,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,185.6912,-88.511402,0.0,top
U4,TLV62569DBV,SOT-23-5,193.1416,-81.9912,0.0,top
Y1,40MHz(+-10 ppm) C501798,Crystal_SMD_2016-4Pin_2.0x1.6mm,165.1392,-87.214802,90.0,top
